dialogue_id,turn_id,speaker,text,emotion,emotion_id,strategy,strategy_id,split
20180825-043341_782_live,7,persuader,"Donation to this organisation is essential to help ensuring children's rights to health, education, safety, etc. ",caring,17,credibility-appeal,2,train
20180825-043341_782_live,7,persuadee,The donations to heal and help with health issues is very crucial,,,,,train
20180825-043341_782_live,8,persuader,"For instance, millions of Syrian children have grown up facing the daily threat of violence.",sad,6,emotion-appeal,8,train
20180825-043341_782_live,8,persuadee,Yes- the war in Syria had traumatized many children,,,,,train
20180825-043341_782_live,9,persuader,"In the first two months of 2018 alone, 1,000 children were reportedly killed or injured in intensifying violence. ",sad,6,emotion-appeal,8,train
20180825-043341_782_live,9,persuadee,"yes, I think I have told about my donation and now waiting for the conversation to end.  Thanks.",,,,,train
20180825-044048_639_live,0,persuader,Hey you wanna donate some money today?,caring,17,no_strategy,0,train
20180825-044048_639_live,0,persuadee,what is the donation for?,,,,,train
20180825-044048_639_live,1,persuader,Save the Children!  It's an awesome charity!  Promotes childrens rights and supports them in developing countries!,proud,2,credibility-appeal,2,train
20180825-044048_639_live,1,persuadee,i would love to donate for childrens' cause,,,,,train
20180825-044048_639_live,2,persuader,You can help out A LOT by donating!  Today you can donate up to .30 cents. ,hopeful,20,no_strategy,0,train
20180825-044048_639_live,2,persuadee,i would love to donate .30 for sure,,,,,train
20180825-044048_639_live,3,persuader,That would be awesome!  Do you have any kids?,sentimental,0,personal-related-inquiry,4,train
20180825-044048_639_live,3,persuadee,"yes, i do. i have three kids. do you?",,,,,train
20180825-044048_639_live,4,persuader,I don't have any personally therefore I spend my free time helping other kids by taking donations and such. It's awesome to see the smiles on their faces!,caring,17,no_strategy,0,train
20180825-044048_639_live,4,persuadee,"without a doubt, every kid on this planet deserves the best. therefore we should do our best to make that happen",,,,,train
20180825-044048_639_live,5,persuader,"This is so true!  If you have any questions about where your donation goes or anything, you can go do  URL and follow up on your donation",trusting,3,donation-information,6,train
20180825-044048_639_live,5,persuadee,okey. thank you so much for offering your help for childrens' donation,,,,,train
20180825-044048_639_live,6,persuader,You are very welcome and thank you for being so generous!  It helps out so much!,grateful,8,no_strategy,0,train
20180825-044048_639_live,6,persuadee,bye now. you take care,,,,,train
20180825-044048_639_live,7,persuader,Thank you buddy.  You take care also! :D,grateful,8,no_strategy,0,train
20180825-044048_639_live,7,persuadee,i really hope this will somehow help to enhance the current situation of kids who are in need of money,,,,,train
20180825-044048_639_live,8,persuader,I wonder why this chat won't end,annoyed,12,no_strategy,0,train
20180825-044048_639_live,8,persuadee,i wish everybody could fight to make lives better of the kids,,,,,train
20180825-044048_639_live,9,persuader,Yeah.  How much did you say you wanted to donate today?,confident,15,no_strategy,0,train
20180825-044048_639_live,9,persuadee,i am donating .30 cents for your organization.,,,,,train
20180825-044252_786_live,0,persuader,"have you heard of ""save the children""",caring,17,source-related-inquiry,5,train
20180825-044252_786_live,0,persuadee,"I think, biut not sure. Tell me more.",,,,,train
20180825-044252_786_live,1,persuader,"they help make sure children have the right to health care, education and safety. ",caring,17,credibility-appeal,2,train
20180825-044252_786_live,1,persuadee,That is such a great cause,,,,,train
20180825-044252_786_live,2,persuader,yes it is and if you just donated a portion of what you make from this task it would be a big help,hopeful,20,no_strategy,0,train
20180825-044252_786_live,2,persuadee,"Well, I already donae to other charities so I'm not sure.",,,,,train
20180825-044252_786_live,3,persuader,I see children everyday even in my community who do not have enough to eat and they are not able to afford to go to the doctor. The only meal they get are the free meals from school. It would be worth even 5 or 10 cents to know these children are getting the basic things in life,caring,17,foot-in-the-door,7,train
20180825-044252_786_live,3,persuadee,"Ok, I will do 5 cents of my task money.",,,,,train
20180825-044252_786_live,4,persuader,thank you so much for this. if you think about it 5 cents will buy pretty much nothing anymore but to this charity it means so much more. thanks again,grateful,8,no_strategy,0,train
20180825-044252_786_live,4,persuadee,"No problem.  i know it's not much, but wanted to do something.",,,,,train
20180825-044252_786_live,5,persuader,every little bit helps. I know they appreciate any donation big or small,hopeful,20,foot-in-the-door,7,train
20180825-044252_786_live,5,persuadee,"I hope so, maybe I can do more in the future.",,,,,train
20180825-044252_786_live,6,persuader,their web address is  URL if you want to check out even more of what they are about,trusting,3,credibility-appeal,2,train
20180825-044252_786_live,6,persuadee,"I would love to do that.  Then in the future, I can donate more.",,,,,train
20180825-044252_786_live,7,persuader,they even have something on their site that allows you to sponsor a child. that might be something that would interest you in the future,hopeful,20,credibility-appeal,2,train
20180825-044252_786_live,7,persuadee,That would defintely interest me.  The thought of that is very exciting.,,,,,train
20180825-044252_786_live,8,persuader,another thing on their site is a section that gives you ideas on different fundraisers you could have. there are some really good ideas that would be fun and for a good cause,impressed,22,credibility-appeal,2,train
20180825-044252_786_live,8,persuadee,"Man, the site sounds good.  I may want to volunteer my time as well instead of just money.",,,,,train
20180825-044252_786_live,9,persuader,that would be great. they are always in need of people to help spread the word about their charity,grateful,8,no_strategy,0,train
20180825-044252_786_live,9,persuadee,"Ok, well thank you for your time and telling me about this wonderful organization.",,,,,train
20180825-044252_786_live,10,persuader,thank you again for the 5 cents donation. it means a lot,grateful,8,no_strategy,0,train
20180825-044358_663_live,0,persuader,"Hello, I would like to ask you to consider making a donation to Save the Children, an international NGO committed to promoting children's rights, and providing support for children in developing countries. ",hopeful,20,credibility-appeal,2,train
20180825-044358_663_live,0,persuadee,ohh how much donation would yoy expect?,,,,,train
20180825-044358_663_live,1,persuader,"Your donation can be from $0 to all of the payment for this task. But before you decide hastily, I would like to remind you that Save the Children is one of the only charities doing what it does. There are children out there now without access to housing, clean water, education, and many other things we often take for granted. So please, consider thoughtfully whether you would be willing to make a sacrifice for the children of the world.",hopeful,20,emotion-appeal,8,train
20180825-044358_663_live,1,persuadee,how do i trust the organiation?,,,,,train
20180825-044358_663_live,2,persuader,"Save the Children is a world-renowned NGO with a trusted history and background. You can read about their successes on their website:   URL Also, they have been given high ratings from different charity watchodgs.",proud,2,credibility-appeal,2,train
20180825-044358_663_live,2,persuadee,okay i will check it.. by the way how much did you donate?,,,,,train
20180825-044358_663_live,3,persuader,"I donated $2, which is the maximum payment. I understand that everyone cannot commit to making a serious donation, but when we think about children suffering, we have a moral imperative to act in their defense.",trusting,3,self-modeling,9,train
20180825-044358_663_live,3,persuadee,okay i will donate $1,,,,,train
20180825-044358_663_live,4,persuader,"If it's not too much to ask, I would like you to consider donating perhaps more. After all, there are children in Syria now growing up facing threats of violence everyday. Surely an additional dollar, which we might spend on a cup of coffee or a bag of chips, could more greatly aid them then us. ",hopeful,20,no_strategy,0,train
20180825-044358_663_live,4,persuadee,no i am okay with this amount,,,,,train
20180825-044358_663_live,5,persuader,"OK, I will not force you to make a decision you don't want to. I will just ask you to consider how you would feel if your child was danger like many children are.",sentimental,0,emotion-appeal,8,train
20180825-044358_663_live,5,persuadee,actually i am not donating like this.. if i would like to donate money i will give food and clothes to the kids directly,,,,,train
20180825-044358_663_live,6,persuader,"While that is possible in a local community, it fails to take into account the suffering of kids in developing countries around the world, a specialty of Save the Children. Save the Children maximizes the efficiency of donations so that every dollar makes a difference. Are you sure you don't want to reconsider?",hopeful,20,logical-appeal,3,train
20180825-044358_663_live,6,persuadee,yes i am very much sure. as of now i am donating $1,,,,,train
20180825-044358_663_live,7,persuader,"Well, we at Save the Children would like to thank you for your donation and let you know that thanks to donors like you, children around the world are thankful",grateful,8,no_strategy,0,train
20180825-044358_663_live,7,persuadee,thank you. anything else?,,,,,train
20180825-044358_663_live,8,persuader,"Yes, if you would like more information about programs we accomplish, or to receive our newsletter, we can put you on our mailing list. It will allow you to stay up to date on programs we accomplish daily",caring,17,no_strategy,0,train
20180825-044358_663_live,8,persuadee,okay done.. thanks,,,,,train
20180825-044358_663_live,9,persuader,Thanks very much for your time. Have a wonderful day!,grateful,8,no_strategy,0,train
20180825-044358_663_live,9,persuadee,same to you :),,,,,train
20180825-044613_233_live,0,persuader,Hello. Do you have children?,caring,17,personal-related-inquiry,4,train
20180825-044613_233_live,0,persuadee,"Yes, 2. You?",,,,,train
20180825-044613_233_live,1,persuader,"No, but I do enjoy their company. Are you aware of the large amount of children in developing countries that could use assitance?",caring,17,task-related-inquiry,1,train
20180825-044613_233_live,1,persuadee,"I am. I tend to read news articles from aboard. BBC, ect. I read that their are quite a few places that could use help. ",,,,,train
20180825-044613_233_live,2,persuader,Yes there are. Have you ever heard of the organization Save the Children and are you aware of what they do?,hopeful,20,source-related-inquiry,5,train
20180825-044613_233_live,2,persuadee,"I have heard of them, but have not looked into what they do. ",,,,,train
20180825-044613_233_live,3,persuader,"Well they have a presence in every continent except Antarctica. Domestically, they provide early education, literacy, and health and disaster preparedness programs.  ",confident,15,credibility-appeal,2,train
20180825-044613_233_live,3,persuadee,"That's very interesting, sounds like they do good work. ",,,,,train
20180825-044613_233_live,4,persuader,"They are very renowned. Internationally, they are pioneers in health education and protection programs. They create long lasting results to save lives and the quality of those lives. ",impressed,22,credibility-appeal,2,train
20180825-044613_233_live,4,persuadee,Do you know anyone that has worked for them?,,,,,train
20180825-044613_233_live,5,persuader,I do not know anyone personally but but they are easily contacted through their website. They are also involved in emergency response and global advocacy.  ,trusting,3,credibility-appeal,2,train
20180825-044613_233_live,5,persuadee,Sounds like they do a lot of good for a lot of people around the world. Are you involved with them at all?,,,,,train
20180825-044613_233_live,6,persuader,I am not personally but I would happily volunteer my time for this organization. Have you ever donated to a charity?,hopeful,20,no_strategy,0,train
20180825-044613_233_live,6,persuadee,"I have. I donate to my local charities, plus the United Way. ",,,,,train
20180825-044613_233_live,7,persuader,I am very glad to hear that. Charity is very important and everyone should have a fighting chance in life. Is this an organization you would consider donating to?,hopeful,20,no_strategy,0,train
20180825-044613_233_live,7,persuadee,I might. I wonder sometimes how much of the actual money that gets donated goes to helping people and not into the pockets of those running the charity. ,,,,,train
20180825-044613_233_live,8,persuader,86% of expenditures for this organization go directly to program services. ,trusting,3,donation-information,6,train
20180825-044613_233_live,8,persuadee,Well that seems better than some I have read about. Have you ever donated to them?,,,,,train
20180825-044613_233_live,9,persuader,I have in the past. I believe they an amazing organization. How much do you like to donate to the charity now? Your donation will be directly deducted from your task payment. You can choose any amount from $0 to all your payment.,confident,15,donation-information,6,train
20180825-044613_233_live,9,persuadee,I think I would donated to donate .50,,,,,train
20180825-044613_233_live,10,persuader,I appreciate that and so does Save the Children. Thank you so much. It truly will go to a good cause. ,grateful,8,no_strategy,0,train
20180825-045559_409_live,0,persuader,Hello! ,hopeful,20,no_strategy,0,train
20180825-045559_409_live,0,persuadee,Hi!,,,,,train
20180825-045559_409_live,1,persuader,Would you consider yourself a giving person?,anxious,19,personal-related-inquiry,4,train
20180825-045559_409_live,1,persuadee,"Yes, I think that would be accurate.",,,,,train
20180825-045559_409_live,2,persuader,Do you like Children?,caring,17,personal-related-inquiry,4,train
20180825-045559_409_live,2,persuadee,"Yes, I do.",,,,,train
20180825-045559_409_live,3,persuader,"How would you feel about donating your payment for this survey to a charity that saves children, aptly named ""save the children""?",hopeful,20,no_strategy,0,train
20180825-045559_409_live,3,persuadee,I would consider it.,,,,,train
20180825-045559_409_live,4,persuader,"awesome, since it is not a huge payment, low risk, great social reward :)",hopeful,20,no_strategy,0,train
20180825-045559_409_live,4,persuadee,I would need to know more about the charity first.,,,,,train
20180825-045559_409_live,5,persuader,"Save the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries",confident,15,credibility-appeal,2,train
20180825-045559_409_live,5,persuadee,How many children do they help annually?,,,,,train
20180825-045559_409_live,6,persuader,Let me get you that information! I also have a link to their website here for your convenience:  URL ,trusting,3,credibility-appeal,2,train
20180825-045559_409_live,6,persuadee,I'll check out that website later.,,,,,train
20180825-045559_409_live,7,persuader,"Awesome, though sadly they don't have ready information on how many children they help annually, the organization is transparent about where their funding goes, and they do allocate a majority of their funds (9 out of 10 dollars) to their needs programs. If you are a US citizen, Save the Children also has US initatives including emergency funds, advocacy programs, and education, among others",confident,15,credibility-appeal,2,train
20180825-045559_409_live,7,persuadee,They sound like they are a legitimate organization.,,,,,train
20180825-045559_409_live,8,persuader,"Yes! After our conversation, I will be donating as well, as their initiatives align with my own beliefs as well :)",trusting,3,self-modeling,9,train
20180825-045559_409_live,8,persuadee,I don't think I'm quite ready to decide yet though.,,,,,train
20180825-045559_409_live,9,persuader,What would help you decide? ,apprehensive,18,task-related-inquiry,1,train
20180825-045559_409_live,9,persuadee,Just need to investigate them a little more.,,,,,train
20180825-050306_247_live,0,persuader,Hi,caring,17,no_strategy,0,train
20180825-050306_247_live,0,persuadee,Hello,,,,,train
20180825-050306_247_live,1,persuader,How are you?,caring,17,no_strategy,0,train
20180825-050306_247_live,1,persuadee,Are you aware of any childrens charities?,,,,,train
20180825-050306_247_live,2,persuader,Yes. I've heard of Save the Children,caring,17,no_strategy,0,train
20180825-050306_247_live,2,persuadee,Awesome. I don't think i've heard of that. Do you donate/participate in any way to that charity?,,,,,train
20180825-050306_247_live,3,persuader,"Yes, I donate money to them monthly.",trusting,3,self-modeling,9,train
20180825-050306_247_live,3,persuadee,What encourages you to donate monthly,,,,,train
20180825-050306_247_live,4,persuader,There are poor children all over the world who don't have enough food to eat and Save the Children goes out to help them. I don't waant anyone to go hungry. Would you?,caring,17,emotion-appeal,8,train
20180825-050306_247_live,4,persuadee,"Yes, I absolutely would. I have never sought out a charity and that brings up a good point. How did you find the charity?",,,,,train
20180825-050306_247_live,5,persuader,My friend had refer me. She volunteers for them. Would you be interested in donating some of your earnings today to Save the Children? The research team is collecting donations.,caring,17,no_strategy,0,train
20180825-050306_247_live,5,persuadee,I would like more information to be sent to me so I could look into it,,,,,train
20180825-050306_247_live,6,persuader,Sure. You can visit  URL or I can probably arrange to have information mailed to you. But any amount you can donate today would be really helpful.,hopeful,20,no_strategy,0,train
20180825-050306_247_live,6,persuadee,How would i go about donating today,,,,,train
20180825-050306_247_live,7,persuader,Just let me know how much you would be interested in donating.,hopeful,20,donation-information,6,train
20180825-050306_247_live,7,persuadee,I was thinking $20,,,,,train
20180825-050306_247_live,8,persuader,That's wonderful! Thank you so much.,grateful,8,no_strategy,0,train
20180825-050306_247_live,8,persuadee,I look forward to working with Save the Children,,,,,train
20180825-050306_247_live,9,persuader,"Yes, it is a great organizaton. I hope you have a great rest of your day.",proud,2,no_strategy,0,train
20180825-050306_247_live,9,persuadee,Thanks you too,,,,,train
20180825-051212_932_live,0,persuader,We are collecting money for an important children's charity.,caring,17,credibility-appeal,2,train
20180825-051212_932_live,0,persuadee,it is great things to do,,,,,train
20180825-051212_932_live,1,persuader,We would like you to help.,grateful,8,no_strategy,0,train
20180825-051212_932_live,1,persuadee,"sure, but first i need to know for what need will i donate and what organization ",,,,,train
20180825-051212_932_live,2,persuader,It is for the charity Save the Children.  You are probably familiar with it.,caring,17,credibility-appeal,2,train
20180825-051212_932_live,2,persuadee,"yes, i have heard. How can i donate? in what way?",,,,,train
20180825-051212_932_live,3,persuader,The researchers are looking for people to donate part of their payment for this study to this charity.  Can you contribute?,hopeful,20,no_strategy,0,train
20180825-051212_932_live,3,persuadee,do you mean autopay from my payment checks ?,,,,,train
20180825-051212_932_live,4,persuader,"No, I think they mean reducing your payment for this study and giving the difference to Save the Children.",caring,17,donation-information,6,train
20180825-051212_932_live,4,persuadee,okey. i got it. i am interesting,,,,,train
20180825-051212_932_live,5,persuader,"Thank you, it will help out children in need.",grateful,8,logical-appeal,3,train
20180825-051212_932_live,5,persuadee,yes. what do i need to do now to help?,,,,,train
20180825-051212_932_live,6,persuader,"I suspect that in the following part of the study, the researchers will ask how much of the money you want to donate.",apprehensive,18,donation-information,6,train
20180825-051212_932_live,6,persuadee,okey. i understad you,,,,,train
20180825-051212_932_live,7,persuader,How much money are you going to donate?  I have to admit these mturk studies don't even pay you enough for a cup of coffee.,disappointed,16,no_strategy,0,train
20180825-051212_932_live,7,persuadee,i will donate now 5 dl,,,,,train
20180825-051212_932_live,8,persuader,"Wow, that's much more than the study is supposed to pay me!  Thank you.",surprised,11,no_strategy,0,train
20180825-051212_932_live,8,persuadee,i am alway happy to help,,,,,train
20180825-051212_932_live,9,persuader,"I believe this completes my part of the study.  Thank you again, and have a great day.",content,21,no_strategy,0,train
20180825-051212_932_live,9,persuadee,have a great day too,,,,,train
20180825-051455_889_live,0,persuader,i'm ready,prepared,9,no_strategy,0,train
20180825-051455_889_live,0,persuadee,"Ok, me too",,,,,train
20180825-051455_889_live,1,persuader,what do you think about children charity ,caring,17,task-related-inquiry,1,train
20180825-051455_889_live,1,persuadee,Children charity are good they are need,,,,,train
20180825-051455_889_live,2,persuader,how much money did you donate for charity ,caring,17,no_strategy,0,train
20180825-051455_889_live,2,persuadee,"I haven't donated anything this year, yet",,,,,train
20180825-051455_889_live,3,persuader,are you willing to donate hearafter,trusting,3,no_strategy,0,train
20180825-051455_889_live,3,persuadee,I would be willing as long as I could afford it,,,,,train
20180825-051455_889_live,4,persuader,how much did you spend money for chairty,caring,17,personal-related-inquiry,4,train
20180825-051455_889_live,4,persuadee,I have not spent any money on charity yet this year.,,,,,train
20180825-051455_889_live,5,persuader,hearafter how much money did you planned to spent,hopeful,20,no_strategy,0,train
20180825-051455_889_live,5,persuadee,I don't know. It all depends if I can afford it....my bills have to come first,,,,,train
20180825-051455_889_live,6,persuader,please support the children charity in comming days,caring,17,no_strategy,0,train
20180825-051455_889_live,6,persuadee,"I will try, but I have to pay my own bills. Can't help others if I can't help myself",,,,,train
20180825-051455_889_live,7,persuader,Ok Fine Save the Children,caring,17,no_strategy,0,train
20180825-051455_889_live,7,persuadee,I will try. I have to think about my children before I can think about other children,,,,,train
20180825-051455_889_live,8,persuader,yeah that is truth ,trusting,3,no_strategy,0,train
20180825-051455_889_live,8,persuadee,"Yes, I will try to help other if I can",,,,,train
20180825-051455_889_live,9,persuader,yes really for the next generation,proud,2,no_strategy,0,train
20180825-051455_889_live,9,persuadee,Yes they are our future,,,,,train
20180825-051852_679_live,0,persuader,What's going on buddy?,joyful,4,no_strategy,0,train
20180825-051852_679_live,0,persuadee,doing these hits,,,,,train
20180825-051852_679_live,1,persuader,You have any children?,caring,17,personal-related-inquiry,4,train
20180825-051852_679_live,1,persuadee,no i dont,,,,,train
20180825-051852_679_live,2,persuader,Why don't you have any children? Didn't get one past the glove,lonely,13,personal-related-inquiry,4,train
20180825-051852_679_live,2,persuadee,personal reasons here,,,,,train
20180825-051852_679_live,3,persuader,After Obama initiated his massive drone strikes on Yemen and Syria there are lots of children who are in peril. Would you like to help them out?,caring,17,emotion-appeal,8,train
20180825-051852_679_live,3,persuadee,sorry i cant im in need myself,,,,,train
20180825-051852_679_live,4,persuader,You can't donate even 20 pennies to these poor little people that your tax dollars have helped to mercilessly assassinate! ,angry,5,emotion-appeal,8,train
20180825-051852_679_live,4,persuadee,i would love to but i have 0 too my name.,,,,,train
20180825-051852_679_live,5,persuader,So how do you eat food if you have 000?,angry,5,no_strategy,0,train
20180825-051852_679_live,5,persuadee,iim disabled i have a ebt card,,,,,train
20180825-051852_679_live,6,persuader,So you can't donate at all?,disappointed,16,no_strategy,0,train
20180825-051852_679_live,6,persuadee,no sorry im trying to keep a roof over my head and not be homeless,,,,,train
20180825-051852_679_live,7,persuader,"I've been homeless for 5 years, it's terrible being a white male these days. You don't fit any prospective employers profile. ",lonely,13,no_strategy,0,train
20180825-051852_679_live,7,persuadee,its really sad that so many go through that,,,,,train
20180825-051852_679_live,8,persuader,Can I submit this? It's been 15 minutes and your slave wages are not worth it,angry,5,no_strategy,0,train
20180825-051852_679_live,8,persuadee,yes its good ty,,,,,train
20180825-051852_679_live,9,persuader,Fuck this ,angry,5,no_strategy,0,train
20180825-051852_679_live,9,persuadee,mine 20 minutes,,,,,train
20180825-052611_640_live,0,persuader,I am supposed to get you to donate some of your payment to a children's charity.,apprehensive,18,donation-information,6,train
20180825-052611_640_live,0,persuadee,Could you tell me more about the charity?,,,,,train
20180825-052611_640_live,1,persuader,It appears to be comething called Save the Children.  I have no other information.,apprehensive,18,no_strategy,0,train
20180825-052611_640_live,1,persuadee,Where did you get that information and who specifically is the money going to?,,,,,train
20180825-052611_640_live,2,persuader,The information is coming from the person who provided this hit.  They don't say who the money is going to.,apprehensive,18,no_strategy,0,train
20180825-052611_640_live,2,persuadee,People aren't likely to donate to charities that they know nothing about.,,,,,train
20180825-052611_640_live,3,persuader,Good point.  I don't like children but perhaps you do.,hopeful,20,no_strategy,0,train
20180825-052611_640_live,3,persuadee,"I\'m not going to donate to some generic ""Save the Children"" charity with no information. So, do we need to chat back and forth a few for times for this to be over?",,,,,train
20180825-052611_640_live,4,persuader,"I found some more info:   Save the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.",confident,15,credibility-appeal,2,train
20180825-052611_640_live,4,persuadee,What's their website address?,,,,,train
20180825-052611_640_live,5,persuader,The address is  URL ,trusting,3,credibility-appeal,2,train
20180825-052611_640_live,5,persuadee,Good to know. I'm not going to donate.,,,,,train
20180825-052611_640_live,6,persuader,How come you are so stingy?,disappointed,16,no_strategy,0,train
20180825-052611_640_live,6,persuadee,Are you going to donate? What is in it for you if I donate?,,,,,train
20180825-052611_640_live,7,persuader,I have no money.  I will feel good if you donate.,hopeful,20,no_strategy,0,train
20180825-052611_640_live,7,persuadee,"I'd rather donate my time or if I do donate money, it will be to a charity that's important to me of my choosing.",,,,,train
20180825-052611_640_live,8,persuader,This is the only one that's available in this context.  You can donate part of your payment.,apprehensive,18,donation-information,6,train
20180825-052611_640_live,8,persuadee,I won't be donating as part of this survey.,,,,,train
20180825-052611_640_live,9,persuader,You certainly aren't very charitable.,disappointed,16,no_strategy,0,train
20180825-052611_640_live,9,persuadee,I appreciate you trying to get me to though. I've never been on an MTurk Hit like this.,,,,,train
20180825-054948_621_live,0,persuader,Hello,caring,17,no_strategy,0,train
20180825-054948_621_live,0,persuadee,"Hi.  I really do not know much about children's charity, do you?",,,,,train
20180825-054948_621_live,1,persuader,Oh. There is this children's charity my friend volunteers for. It's called Save the Children. Have you heard of it?,caring,17,source-related-inquiry,5,train
20180825-054948_621_live,1,persuadee,I think so.  Does it have commercials on tv?  ,,,,,train
20180825-054948_621_live,2,persuader,"Yes, they do. I wish they didn't have to spend their monies on commericals but it is the only way to get their name out there.",disappointed,16,no_strategy,0,train
20180825-054948_621_live,2,persuadee,"Does this charity help children in the United States, or do they deal mostly with children in African nations?",,,,,train
20180825-054948_621_live,3,persuader,It is a global charity. They help out children in the US and around the world. You should check out their website:  URL s/what-we-do/us-programs,caring,17,credibility-appeal,2,train
20180825-054948_621_live,3,persuadee,I will copy and save the website address.  What do volunteers do for this charity?  I ask that because volunteering would be easier for me than sending money.,,,,,train
20180825-054948_621_live,4,persuader,My friend is a nurse and she takes a month off every year to go to Africa to help out. I would love to do that but can't possibly get that much time off. How about you?,caring,17,personal-story,10,train
20180825-054948_621_live,4,persuadee,"That is awesome that your friend does that!  I'm not a nurse though, and couldn't possibly travel to Africa or anywhere else.",,,,,train
20180825-054948_621_live,5,persuader,"Well, the next best thing is to donate. You don't have to give much. A few cents a month is all it takes to help change a child's life. Would you be willing to donate?",hopeful,20,foot-in-the-door,7,train
20180825-054948_621_live,5,persuadee,"No, I honestly don't have any money.  If I did have extra money, I would probably donate to St Jude's.  I have given a few extra cents sometimes at the checkout in grocery stores.",,,,,train
20180825-054948_621_live,6,persuader,I know money is tight. It sure is for me too. I only ask you to think about whether you buy any unnecessary things like a starbucks coffee every day. I know there are often times I regret spending money on that when there are starving kids in the world that could be helped. Do you ever feel that way?,caring,17,personal-related-inquiry,4,train
20180825-054948_621_live,6,persuadee,"No, not really.  I can count on one hand the number of times I've had starbucks coffee.  Very rarely do I spend money on unnecessary things, money is that tight.  I do feel bad there are starving kids in this world, but until my situation changes, there is nothing I can do for them or anyone else.",,,,,train
